sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬公,澎湖縣,37,,良好,1.2,0.26,46.3,40.2,21,8,2.7,3.5,0.8,7.3,32,"2024-11-26 20:00",,0.3,5.7,14,1,119.566158,23.569031,78
金門,金門縣,46,,良好,1.3,0.37,36.4,50.2,23,14,7.8,8.5,0.6,2.7,76,"2024-11-26 20:00",,0.3,9.6,21,0,118.312256,24.432133,77
馬祖,連江縣,43,,良好,0.6,0.26,53.3,46.4,34,14,3.7,4.7,1,1.2,355,"2024-11-26 20:00",,0.2,10.6,26,0,119.952724,26.153736,75
埔里,南投縣,46,,良好,1.6,0.42,30.8,36.2,21,12,9.7,11,1.3,0.3,321,"2024-11-26 20:00",,0.2,14.3,18,1,120.967903,23.968842,72
復興,高雄市,68,懸浮微粒,普通,1.4,0.52,28.5,42.4,122,21,19.2,20.7,1.5,1.5,165,"2024-11-26 20:00",,0.4,18.4,68,1,120.312017,22.608711,71
永和,新北市,35,,良好,1.1,0.44,37.8,32.0,40,12,13.6,16.5,2.9,2.2,82,"2024-11-26 20:00",,0.4,10.7,32,1,121.516306,25.017,70
竹山,南投縣,36,,良好,0.8,0.41,15.3,37.3,32,11,17.4,17.9,0.5,2,28,"2024-11-26 20:00",,0.3,11.1,28,0,120.677306,23.756389,69
中壢,桃園市,42,,良好,1,0.78,23.9,17.7,35,16,24.4,39.9,15.5,1.3,5,"2024-11-26 20:00",,0.7,12.8,29,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.7,0.84,18.5,12.9,48,15,32.6,70.7,38.1,-,-,"2024-11-26 20:00",,1,13.8,37,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.7,0.25,39.2,33.6,34,12,6.7,7.9,1.2,1.2,239,"2024-11-26 20:00",,0.2,9.4,31,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.8,0.28,33.2,33.3,23,11,4.8,5.4,0.6,1.1,293,"2024-11-26 20:00",,0.3,9.7,20,1,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.9,0.24,49.7,43.0,28,7,1.1,2.2,1,,,"2024-11-26 20:00",,0.2,4.7,17,0,121.529583,25.182722,64
花蓮,花蓮縣,34,,良好,1.6,0.25,45.4,37.3,34,10,3.9,4.3,0.4,4.4,72,"2024-11-26 20:00",,0.3,8.2,31,1,121.599769,23.971306,63
臺東,臺東縣,34,,良好,1,0.39,29,37.0,12,5,6.3,7.8,1.4,1.6,326,"2024-11-26 20:00",,0.3,7.2,21,1,121.15045,22.755358,62
恆春,屏東縣,28,,良好,0.7,0.29,,,20,7,2.7,3.4,0.6,10.2,27,"2024-11-26 20:00",,0.2,8.5,17,0,120.788928,21.958069,61
潮州,屏東縣,53,細懸浮微粒,普通,1.5,0.35,34.8,50.6,63,22,11,12.5,1.5,2.1,285,"2024-11-26 20:00",,0.2,16.3,34,0,120.561175,22.523108,60
屏東,屏東縣,48,,良好,1.7,0.42,36.7,46.5,116,21,13.1,13.6,0.5,1.8,256,"2024-11-26 20:00",,0.2,13.7,48,1,120.488033,22.673081,59
小港,高雄市,63,懸浮微粒,普通,1.3,0.53,29.4,43.8,113,20,22.4,23.1,0.7,1.3,331,"2024-11-26 20:00",,0.3,14.9,63,1,120.337736,22.565833,58
前鎮,高雄市,74,懸浮微粒,普通,1.8,0.53,28.3,43.3,139,23,19.5,22,2.5,3.2,3,"2024-11-26 20:00",,0.4,18,74,1,120.30833356,22.6044507,57
前金,高雄市,79,懸浮微粒,普通,1.4,0.46,27.4,44.4,130,15,18.3,19.2,0.8,4.2,354,"2024-11-26 20:00",,0.3,14.3,79,0,120.28676111,22.63390278,56
左營,高雄市,82,懸浮微粒,普通,1.5,0.46,28.2,46.3,163,23,16.7,17.5,0.7,3,7,"2024-11-26 20:00",,0.3,16.7,82,1,120.292917,22.674861,54
楠梓,高雄市,90,懸浮微粒,普通,1.8,0.45,26.7,45.4,182,20,16.6,17.1,0.4,2.3,340,"2024-11-26 20:00",,0.3,14.7,90,1,120.328289,22.733667,53
林園,高雄市,59,懸浮微粒,普通,1.8,0.51,28.4,47.3,84,17,23.2,23.2,0,1,315,"2024-11-26 20:00",,0.3,16.8,59,1,120.41175,22.4795,52
大寮,高雄市,52,細懸浮微粒,普通,2.1,0.46,24.7,41.6,57,18,23.2,24.2,0.9,1.8,318,"2024-11-26 20:00",,0.2,16,33,2,120.425311,22.56413611,51
鳳山,高雄市,71,懸浮微粒,普通,1.3,0.71,25.2,41.1,164,26,21.4,24.5,3,1.3,252,"2024-11-26 20:00",,0.4,19.3,71,1,120.357422,22.628126,50
仁武,高雄市,64,懸浮微粒,普通,1.5,0.48,25.4,43.7,136,25,17.9,19,1.1,2.8,342,"2024-11-26 20:00",,0.3,17.6,64,1,120.332631,22.689056,49
橋頭,高雄市,83,懸浮微粒,普通,1.7,0.48,22.9,44.1,153,24,20.2,21.7,1.5,3.2,10,"2024-11-26 20:00",,0.3,15.7,83,1,120.305689,22.757506,48
美濃,高雄市,54,懸浮微粒,普通,1.6,0.39,36.2,44.8,123,21,9.1,9.8,0.7,1.2,267,"2024-11-26 20:00",,0.2,12.1,54,1,120.530542,22.883583,47
臺南,臺南市,75,懸浮微粒,普通,2,0.45,19.6,42.1,73,21,17.2,17.8,0.6,4.2,2,"2024-11-26 20:00",,0.3,14.5,75,1,120.21947897,22.98928311,46
安南,臺南市,75,懸浮微粒,普通,1.5,0.43,20.9,42.6,63,13,13.7,14.2,0.4,3,320,"2024-11-26 20:00",,0.3,14.7,75,0,120.2175,23.048197,45
善化,臺南市,92,懸浮微粒,普通,1.7,0.4,19.8,42.1,60,16,13.6,14.4,0.7,3.9,355,"2024-11-26 20:00",,0.2,13.2,92,1,120.29740529,23.11337642,44
新營,臺南市,105,懸浮微粒,對敏感族群不健康,1.9,0.45,17.3,37.7,63,16,16.5,16.8,0.2,3.4,14,"2024-11-26 20:00",,0.3,16.6,113,1,120.31725,23.305633,43
嘉義,嘉義市,63,懸浮微粒,普通,10.5,0.47,15.4,37.4,26,16,17.2,18.8,1.6,2.7,6,"2024-11-26 20:00",,0.3,14.2,63,2,120.44125148,23.46477865,42
臺西,雲林縣,39,,良好,1.1,0.28,35.9,41.0,49,10,6.2,6.8,0.5,7.4,25,"2024-11-26 20:00",,0.3,8.9,39,1,120.19933333,23.702175,41
朴子,嘉義縣,72,懸浮微粒,普通,2.3,0.31,25.1,38.8,56,9,11.4,13.3,1.9,2.4,352,"2024-11-26 20:00",,0.3,9.6,72,1,120.2478,23.46538,40
新港,嘉義縣,104,懸浮微粒,對敏感族群不健康,1.9,0.32,25.4,38.3,40,12,12.9,13.3,0.4,3.4,5,"2024-11-26 20:00",,0.3,15.3,109,1,120.345531,23.554839,39
崙背,雲林縣,124,懸浮微粒,對敏感族群不健康,1.6,0.34,26.9,33.9,135,14,11.3,12.1,0.7,2.4,2,"2024-11-26 20:00",,0.3,17,173,1,120.348742,23.757547,38
斗六,雲林縣,49,,良好,1,0.36,22.6,38.8,21,10,12.2,13.2,1,1.8,344,"2024-11-26 20:00",,0.3,10.8,49,1,120.544994,23.711853,37
南投,南投縣,31,,良好,1.1,0.39,19.7,33.4,21,6,15.5,16.8,1.2,1.5,340,"2024-11-26 20:00",,0.3,9.1,26,1,120.685306,23.913,36
二林,彰化縣,39,,良好,1.1,0.29,34.8,37.4,39,10,9.1,9.5,0.3,5.6,26,"2024-11-26 20:00",,0.3,7.8,39,1,120.409653,23.925175,35
線西,彰化縣,34,,良好,1.8,0.28,32.8,33.6,31,15,12.3,12.8,0.5,8,35,"2024-11-26 20:00",,0.3,10.5,29,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.6,0.33,27,28.4,23,8,13.2,14.3,1.1,2.4,23,"2024-11-26 20:00",,0.3,7.8,22,0,120.541519,24.066,33
西屯,臺中市,29,,良好,1,0.27,33.3,31.9,21,8,7.3,8.6,1.2,4.7,0,"2024-11-26 20:00",,0.3,7.1,26,0,120.616917,24.162197,32
忠明,臺中市,27,,良好,1.5,0.36,26.6,29.1,16,7,10.9,12.1,1.2,1.8,329,"2024-11-26 20:00",,0.3,6.7,19,1,120.641092,24.151958,31
大里,臺中市,28,,良好,1.3,0.39,22.7,30.4,20,8,10.8,12.5,1.6,2.1,8,"2024-11-26 20:00",,0.4,8.2,19,1,120.67844444,24.09961111,30
沙鹿,臺中市,26,,良好,0.9,0.27,13,24.1,26,11,6.3,7,0.7,5.4,9,"2024-11-26 20:00",,0.3,8.1,22,0,120.568794,24.225628,29
豐原,臺中市,30,,良好,0.8,0.29,27.4,32.0,11,10,5.8,6.1,0.3,3.3,33,"2024-11-26 20:00",,0.3,8.7,15,1,120.74252414,24.25699731,28
三義,苗栗縣,30,,良好,0.9,0.24,40,32.9,25,9,3.2,4.2,0.9,7,16,"2024-11-26 20:00",,0.3,6.5,13,0,120.75956754,24.38248443,27
苗栗,苗栗縣,30,,良好,1.6,0.27,39.6,32.4,27,14,7.7,8.7,1,3.8,8,"2024-11-26 20:00",,0.3,8.5,20,1,120.82011468,24.56499183,26
頭份,苗栗縣,31,,良好,1.5,0.32,40.8,31.1,34,11,10.5,11.6,1.1,2.3,45,"2024-11-26 20:00",,0.3,9.5,21,1,120.89869286,24.69690679,25
新竹,新竹市,28,,良好,1.6,0.33,39.2,30.4,34,18,10,10.4,0.4,2.7,39,"2024-11-26 20:00",,0.3,7.4,24,1,120.97236752,24.8056356,24
竹東,新竹縣,32,,良好,0.5,0.24,43.8,35.1,31,11,5.5,5.7,0.2,3.3,45,"2024-11-26 20:00",,0.2,6.5,19,0,121.08895493,24.74091408,23
湖口,新竹縣,32,,良好,2.4,0.26,45.1,35.0,30,11,4.5,4.9,0.3,5.3,49,"2024-11-26 20:00",,0.3,8.2,24,1,121.03886894,24.90009696,22
龍潭,桃園市,31,,良好,1.4,0.27,41.9,33.4,37,11,7.4,8.2,0.8,6.4,62,"2024-11-26 20:00",,0.3,9.2,26,1,121.21645772,24.86400048,21
平鎮,桃園市,35,,良好,1.2,0.41,39.4,29.9,29,15,13.3,14.8,1.5,3.5,79,"2024-11-26 20:00",,0.4,10.7,25,0,121.203986,24.952786,20
觀音,桃園市,43,,良好,1.8,0.24,44.5,36.6,39,17,7.3,7.4,0.1,6.5,86,"2024-11-26 20:00",,0.2,13.1,41,0,121.08283092,25.03556747,19
大園,桃園市,46,,良好,1.3,0.27,41.4,34.4,42,16,12.2,13.2,0.9,4.4,64,"2024-11-26 20:00",,0.3,14.3,34,1,121.20251473,25.06100357,18
桃園,桃園市,27,,良好,0.8,0.35,41.1,29.0,32,10,10,11.3,1.2,3.7,51,"2024-11-26 20:00",,0.4,8.2,27,0,121.30500531,24.9947107,17
大同,臺北市,48,,良好,0.8,0.58,26.9,21.6,41,17,26.5,41.6,15.1,-,-,"2024-11-26 20:00",,0.6,14.8,32,0,121.51342074,25.06331455,16
松山,臺北市,46,,良好,1.3,0.28,37.6,30.8,44,16,13.2,15.2,1.9,2.1,18,"2024-11-26 20:00",,0.3,14.1,36,1,121.578611,25.05,15
古亭,臺北市,36,,良好,1.4,0.35,37.1,31.4,40,13,13.2,13.8,0.6,1.8,67,"2024-11-26 20:00",,0.3,11.2,31,0,121.529556,25.020608,14
萬華,臺北市,39,,良好,1.6,0.34,32.1,22.5,37,16,16.8,19.1,2.2,2.9,94,"2024-11-26 20:00",,0.3,11.9,32,1,121.507972,25.046503,13
中山,臺北市,45,,良好,0.9,0.42,34.1,27.0,42,16,17.3,20.1,2.8,2,62,"2024-11-26 20:00",,0.4,14,32,0,121.526528,25.062361,12
士林,臺北市,36,,良好,0.8,0.24,47.6,39.4,30,19,5.7,6.3,0.6,2.3,49,"2024-11-26 20:00",,0.2,10.1,27,0,121.51666356,25.10334003,11
淡水,新北市,36,,良好,1.4,0.25,48,39.8,40,12,3.3,4.3,0.9,,,"2024-11-26 20:00",,0.2,10.6,28,1,121.449239,25.1645,10
林口,新北市,31,,良好,0.8,0.26,40,29.2,32,12,7.8,9.2,1.3,3.1,58,"2024-11-26 20:00",,0.2,9.7,29,0,121.36548982,25.07798949,9
菜寮,新北市,40,,良好,0.7,0.32,43.9,35.6,36,16,10.1,10.8,0.7,3.5,75,"2024-11-26 20:00",,0.3,12.2,26,0,121.481028,25.06895,8
新莊,新北市,41,,良好,1.1,0.28,44.9,34.4,47,17,6.9,7.5,0.6,5.7,68,"2024-11-26 20:00",,0.3,12.7,34,0,121.4325,25.037972,7
板橋,新北市,34,,良好,1,0.36,43.3,34.7,41,14,13.7,14.7,1,3,55,"2024-11-26 20:00",,0.3,10.4,29,1,121.458667,25.012972,6
土城,新北市,37,,良好,1,0.35,40.4,32.4,34,10,11.6,12.3,0.6,1.9,145,"2024-11-26 20:00",,0.3,11.5,29,1,121.451861,24.982528,5
新店,新北市,49,,良好,0.6,0.33,37.7,29.2,40,17,10.1,10.9,0.7,1.9,118,"2024-11-26 20:00",,0.3,15.1,27,0,121.537778,24.977222,4
萬里,新北市,82,懸浮微粒,普通,0.1,0.23,53.9,48.2,95,17,2.9,3.5,0.5,5.9,45,"2024-11-26 20:00",,0.2,16.3,82,0,121.689881,25.179667,3
汐止,新北市,39,,良好,1.7,0.25,40.9,33.3,38,15,9.8,11,1.2,1.1,42,"2024-11-26 20:00",,0.2,12,28,0,121.64081,25.06624,2
基隆,基隆市,39,,良好,1.2,0.24,48.7,42.9,41,12,4,4.2,0.1,2.4,89,"2024-11-26 20:00",,0.2,8.9,31,1,121.760056,25.129167,1
屏東(枋山),屏東縣,41,,良好,0,0.24,39.7,44.4,21,6,2.7,2.9,0.2,6.9,88,"2024-11-26 19:00",,0.1,9.2,28,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,34,,良好,0,0.34,42.8,37.5,25,12,5.4,6.8,1.4,4.7,38,"2024-11-26 19:00",,0.3,10.1,25,0,121.61575076,23.97709367,312
新北(樹林),新北市,38,,良好,0.7,0.43,26.8,21.1,39,14,23.7,32.2,8.5,0,140,"2024-11-26 19:00",,0.4,10.5,27,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,57,細懸浮微粒,普通,1.4,0.36,48.3,56.3,55,19,9.7,10.6,0.9,3.2,315,"2024-11-26 19:00",,0.3,18,47,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,79,懸浮微粒,普通,1.4,0.41,22.2,40.1,105,18,14,14.5,0.4,3.1,9,"2024-11-26 19:00",,0.2,14,79,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,61,懸浮微粒,普通,1.6,0.4,32.1,43.3,113,12,14,13.9,0,1.4,303,"2024-11-26 19:00",,0.3,8.5,61,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,31,,良好,1.3,0.4,22.7,33.5,26,9,13.7,15.8,2.1,1.9,352,"2024-11-26 19:00",,0.3,8,30,1,120.56373,23.96117,201
大城,彰化縣,39,,良好,1.4,0.25,37.1,42.1,24,14,6,7.1,1,9,45,"2024-11-26 19:00",,0.2,11,30,1,120.26964167,23.85493056,85
富貴角,新北市,48,,良好,0.3,0.2,54.8,46.4,54,18,1.8,1.9,0.1,10.7,51,"2024-11-26 19:00",,0.2,13,48,0,121.53656894,25.29681695,84
麥寮,雲林縣,70,懸浮微粒,普通,1.2,0.3,34.5,40.5,62,14,7.3,8.3,1,7.4,3,"2024-11-26 19:00",,0.3,11.7,70,1,120.251825,23.753506,83
關山,臺東縣,39,,良好,0.9,0.33,30.9,33.2,16,6,5.1,5.4,0.3,2.6,37,"2024-11-26 19:00",,0.2,5.3,39,1,121.161933,23.045083,80
馬公,澎湖縣,35,,良好,1.1,0.29,41,38.2,16,9,3.4,4.2,0.8,7.3,39,"2024-11-26 19:00",,0.3,5.2,13,1,119.566158,23.569031,78
金門,金門縣,46,,良好,0.8,0.38,37,50.4,22,11,6.8,7.7,0.8,2.1,86,"2024-11-26 19:00",,0.3,8.4,21,0,118.312256,24.432133,77
馬祖,連江縣,39,,良好,0.6,0.27,53,42.9,34,10,4.3,5.3,0.9,1,330,"2024-11-26 19:00",,0.3,9.6,24,0,119.952724,26.153736,75
埔里,南投縣,47,,良好,1.7,0.4,33.7,36.2,23,15,11.2,12.4,1.2,0.5,310,"2024-11-26 19:00",,0.2,14.5,17,1,120.967903,23.968842,72
復興,高雄市,56,細懸浮微粒,普通,1.5,0.58,33.8,43.1,80,19,21.2,23.1,1.8,2,282,"2024-11-26 19:00",,0.4,17.5,54,0,120.312017,22.608711,71
永和,新北市,34,,良好,1,0.48,36.7,29.7,39,14,15.4,19,3.6,2.7,73,"2024-11-26 19:00",,0.4,10.4,29,1,121.516306,25.017,70
竹山,南投縣,37,,良好,0.8,0.43,19,39.8,33,18,17.1,17.8,0.6,2,23,"2024-11-26 19:00",,0.3,11.4,28,0,120.677306,23.756389,69
中壢,桃園市,47,,良好,0.7,0.8,22.9,16.2,41,14,28,49,20.9,1.2,307,"2024-11-26 19:00",,0.7,12,27,0,121.221667,24.953278,68
三重,新北市,55,二氧化氮,普通,0.8,1.16,15.5,11.0,42,16,36.7,77.4,40.7,-,-,"2024-11-26 19:00",,1,13,35,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.6,0.27,39.2,31.6,37,11,8.6,10.6,1.9,1.3,343,"2024-11-26 19:00",,0.3,8.7,31,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.9,0.29,37.2,31.8,22,8,4.4,5.2,0.8,1.8,298,"2024-11-26 19:00",,0.3,9.5,19,1,121.746394,24.747917,65
陽明,臺北市,37,,良好,0.9,0.25,49.4,40.3,22,9,1.1,2.2,1.1,1.4,40,"2024-11-26 19:00",,0.2,4,13,0,121.529583,25.182722,64
花蓮,花蓮縣,32,,良好,1.5,0.28,40.6,35.5,31,7,4.8,5.4,0.6,3.6,78,"2024-11-26 19:00",,0.3,8,30,1,121.599769,23.971306,63
臺東,臺東縣,35,,良好,1,0.42,28.5,38.3,20,6,7.6,9.5,1.8,1.4,315,"2024-11-26 19:00",,0.3,7.6,23,1,121.15045,22.755358,62
恆春,屏東縣,37,,良好,0.7,0.3,,40.7,17,8,2.7,3.4,0.7,10.7,33,"2024-11-26 19:00",,0.2,8.7,17,0,120.788928,21.958069,61
潮州,屏東縣,50,,良好,1.1,0.23,37.3,51.6,21,10,4.4,5.8,1.3,2.3,185,"2024-11-26 19:00",,0.1,15.4,28,0,120.561175,22.523108,60
屏東,屏東縣,44,,良好,1.5,0.44,38.8,47.2,54,14,14.8,15.4,0.6,2.4,280,"2024-11-26 19:00",,0.2,12.1,34,1,120.488033,22.673081,59
小港,高雄市,50,,良好,1.5,0.55,32.3,44.9,79,18,27.1,27.7,0.6,2.4,303,"2024-11-26 19:00",,0.3,14.1,50,1,120.337736,22.565833,58
前鎮,高雄市,57,懸浮微粒,普通,1.9,0.62,31.8,44.5,93,18,23.8,26.7,2.9,3.4,13,"2024-11-26 19:00",,0.3,16.7,57,1,120.30833356,22.6044507,57
前金,高雄市,65,懸浮微粒,普通,1.3,0.43,38.1,45.6,101,14,17,18,1,4.6,354,"2024-11-26 19:00",,0.3,13.8,65,0,120.28676111,22.63390278,56
左營,高雄市,61,懸浮微粒,普通,1.4,0.45,38.6,47.6,109,18,15.7,16.4,0.6,2.5,355,"2024-11-26 19:00",,0.3,14.6,61,1,120.292917,22.674861,54
楠梓,高雄市,65,懸浮微粒,普通,1.3,0.41,38.3,47.1,137,18,15.2,15.9,0.7,1.9,335,"2024-11-26 19:00",,0.2,13.7,65,1,120.328289,22.733667,53
林園,高雄市,54,細懸浮微粒,普通,2.6,0.49,27.6,49.4,67,19,29.2,29.5,0.2,2.4,306,"2024-11-26 19:00",,0.3,16.9,52,1,120.41175,22.4795,52
大寮,高雄市,51,細懸浮微粒,普通,1.7,0.44,34.4,43.5,40,20,19.6,20.2,0.5,2.2,330,"2024-11-26 19:00",,0.2,15.5,29,2,120.425311,22.56413611,51
鳳山,高雄市,56,細懸浮微粒,普通,1.4,0.74,31,42.7,88,21,22.6,25.6,3,1.4,256,"2024-11-26 19:00",,0.4,17.7,50,1,120.357422,22.628126,50
仁武,高雄市,51,細懸浮微粒,普通,1,0.45,36.7,45.1,93,22,16.6,17.8,1.2,3.5,345,"2024-11-26 19:00",,0.3,15.5,45,1,120.332631,22.689056,49
橋頭,高雄市,64,懸浮微粒,普通,1.6,0.44,36.3,46.1,147,20,16.9,18.1,1.2,3.2,3,"2024-11-26 19:00",,0.2,13.4,64,1,120.305689,22.757506,48
美濃,高雄市,42,,良好,1.6,0.36,42.8,45.1,83,16,9.4,10.4,0.9,1.5,272,"2024-11-26 19:00",,0.2,10.4,38,1,120.530542,22.883583,47
臺南,臺南市,71,懸浮微粒,普通,1.5,0.43,29.6,44.5,127,20,14.1,14.7,0.6,4,4,"2024-11-26 19:00",,0.3,12.6,71,1,120.21947897,22.98928311,46
安南,臺南市,74,懸浮微粒,普通,1,0.43,29.7,44.8,118,19,11.5,12,0.4,3.7,320,"2024-11-26 19:00",,0.3,14.8,74,0,120.2175,23.048197,45
善化,臺南市,89,懸浮微粒,普通,1.9,0.4,24.8,44.4,176,13,13.1,14.1,0.9,4.1,1,"2024-11-26 19:00",,0.2,12.5,89,1,120.29740529,23.11337642,44
新營,臺南市,105,懸浮微粒,對敏感族群不健康,1.7,0.44,20.2,39.9,102,15,15.8,16,0.2,3.8,13,"2024-11-26 19:00",,0.3,16.4,114,1,120.31725,23.305633,43
嘉義,嘉義市,72,懸浮微粒,普通,7.9,0.54,15.6,40.1,46,16,18.7,20.2,1.4,2.6,6,"2024-11-26 19:00",,0.3,14.3,72,2,120.44125148,23.46477865,42
臺西,雲林縣,37,,良好,0.9,0.29,35.2,40.8,38,6,6.3,6.7,0.4,8.8,23,"2024-11-26 19:00",,0.3,8.2,35,1,120.19933333,23.702175,41
朴子,嘉義縣,75,懸浮微粒,普通,2,0.33,25.9,39.8,58,10,11.2,13.2,1.9,2.5,354,"2024-11-26 19:00",,0.2,9.8,75,1,120.2478,23.46538,40
新港,嘉義縣,106,懸浮微粒,對敏感族群不健康,2.2,0.41,21.2,39.8,75,12,14.4,14.8,0.3,4.7,9,"2024-11-26 19:00",,0.3,15.5,118,1,120.345531,23.554839,39
崙背,雲林縣,128,懸浮微粒,對敏感族群不健康,2.7,0.45,20.1,34.1,157,13,16.6,17.5,0.9,2.2,353,"2024-11-26 19:00",,0.3,17.6,184,1,120.348742,23.757547,38
斗六,雲林縣,59,懸浮微粒,普通,1.3,0.42,20,40.5,34,12,15.2,16.1,0.9,1.8,337,"2024-11-26 19:00",,0.3,11.5,59,1,120.544994,23.711853,37
南投,南投縣,32,,良好,1.3,0.45,15.7,34.9,24,12,19.8,21.6,1.8,1.2,5,"2024-11-26 19:00",,0.3,9.6,28,1,120.685306,23.913,36
二林,彰化縣,42,,良好,1.4,0.35,29,37.1,32,10,12.4,13,0.6,4.9,22,"2024-11-26 19:00",,0.3,7.7,42,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1.1,0.29,30.9,32.7,22,11,11.7,12.5,0.7,7.7,31,"2024-11-26 19:00",,0.3,9.5,30,1,120.469061,24.131672,34
彰化,彰化縣,27,,良好,0.5,0.38,25,28.1,21,7,13.7,15.1,1.4,3.1,20,"2024-11-26 19:00",,0.3,8.2,24,0,120.541519,24.066,33
西屯,臺中市,29,,良好,0.8,0.3,30,30.9,19,8,8.9,10.1,1.2,4.8,0,"2024-11-26 19:00",,0.3,7.7,29,0,120.616917,24.162197,32
忠明,臺中市,26,,良好,1.5,0.43,22.7,29.0,15,11,13.6,15.2,1.6,2.3,327,"2024-11-26 19:00",,0.3,6.2,21,1,120.641092,24.151958,31
大里,臺中市,29,,良好,1.4,0.47,18.9,31.5,20,13,15,16.7,1.7,3.5,11,"2024-11-26 19:00",,0.4,7.8,19,1,120.67844444,24.09961111,30
沙鹿,臺中市,26,,良好,0.9,0.29,10.9,25.9,27,8,7.6,8.2,0.6,5.7,30,"2024-11-26 19:00",,0.3,7.9,21,0,120.568794,24.225628,29
豐原,臺中市,30,,良好,1.2,0.37,22.2,32.3,20,16,10.9,11.5,0.6,2.2,19,"2024-11-26 19:00",,0.3,8,16,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.26,35.6,30.6,15,11,4.6,5.7,1,7.4,19,"2024-11-26 19:00",,0.3,6.2,12,0,120.75956754,24.38248443,27
苗栗,苗栗縣,28,,良好,1.6,0.28,37.7,30.2,28,11,7.7,8.8,1.1,5.2,18,"2024-11-26 19:00",,0.3,7.6,19,1,120.82011468,24.56499183,26
頭份,苗栗縣,29,,良好,1.7,0.34,35.1,28.7,28,12,12,13.3,1.3,3.4,44,"2024-11-26 19:00",,0.3,9,18,1,120.89869286,24.69690679,25
新竹,新竹市,25,,良好,1.7,0.35,36.2,27.9,38,10,12.6,13,0.4,3.4,52,"2024-11-26 19:00",,0.3,5.4,22,1,120.97236752,24.8056356,24
竹東,新竹縣,30,,良好,0.5,0.24,42.3,32.4,28,7,5.8,6.3,0.5,5.1,40,"2024-11-26 19:00",,0.2,6,17,0,121.08895493,24.74091408,23
湖口,新竹縣,29,,良好,2.4,0.26,44.4,32.0,36,8,5.6,6,0.3,6.8,47,"2024-11-26 19:00",,0.3,7.3,23,1,121.03886894,24.90009696,22
