群組,課程類別,課程名稱,老師,進修人數,報名開始日期,報名結束日期,甄試資訊,進修時數,上課時間,課程開始日期,課程結束日期,不上課日期,課程內容,進修費用,報名資格,就業方向,筆試準備範圍
服務業群組,一般課程,樂活餐桌-養生健康料理,陳莉蓁老師,25人,114.05.13 10:00,114.06.02 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",72小時,"週二至週四 08:30~17:05",114.07.15,114.07.31,, "1. 健康飲食養生概論 2. 樂活養生餐點製作 3. 樂活菜單規劃 4. 綜合實習",4100元,年滿15歲以上,可從事中式餐飲技術相關人員,無
服務業群組,一般課程,進階餐酒學:葡萄酒X餐食搭配,翁慧婷老師,24人,114.05.27 10:00,114.06.16 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",40小時,"週三 08:30~17:05",114.07.16,114.08.13,, "1. 侍酒技巧與餐酒搭配 2. 世界知名產區,紅、白葡萄品種介紹與品飲 3. 餐食製作 4. 盲飲練習",1700元,年滿18歲以上,酒業及餐飲業從業人員,無
服務業群組,一般課程,市集魅力:創意攤位佈置攻略,葉慶貞老師,25人,114.05.27 10:00,114.06.16 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",40小時,"週一 08:30~17:05",114.07.21,114.08.18,, "形塑市集美感 1. 市集擺攤規劃與前置作業準備 2.攤位形象設定與商品包裝 3. 市集攤位展示型態 4. 擺攤器材與陳列道具",1300元,"年滿15歲以上有電腦操作基礎者","1. 微型創業 2. 市集攤位參與 3.實體活動推廣",無
服務業群組,一般課程,機能服打版製作,陳官薇老師,25人,114.05.27 10:00,114.06.16 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",80小時,"週一、週二 週四、周五 08:30~17:05",114.07.24,114.08.08,, "1. 運動機能服打版 2. 針織布料應用 3. 四線拷克、三本車、四針六線蹦縫車操作 4. T恤、運動背心、運動褲、瑜珈褲操作",2200元,"年滿15歲以上,同時需要會使用平車、拷克機具、具備服裝車縫基礎能力。","1. 樣品師 2. 打版師 3.服飾修改人員 4.店面、專櫃;銷售服務人",無
服務業群組,一般課程,數位3D版型設計,陳官薇老師,25人,114.06.10 10:00,114.07.01 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",48小時,"週六 08:30~17:05",114.08.02,114.09.06,, "1. TG3D Studio 軟體操作 2. 簡易、直覺及多元設計功能應用。 3. 2D 版型生成3D服裝。 4. 3D 版型設計應用",3000元,"年滿15歲以上,同時具備服裝平面打版基礎與電腦操作基礎能力","1. 成衣3D助理技師 2.電腦打版助理 3.打版師 4. 設計師",無
服務業群組,一般課程,手工咖啡與咖啡感官基礎訓練,蘇珮君老師,25人,114.06.17 10:00,114.07.07 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",80小時,"週一至週五 08:30~17:05",114.08.11,114.08.22,, "1. 機具與工具 2. 認識精品咖啡 3. 感官與杯測 4. 手沖咖啡 5. 虹吸咖啡 6. 綜合練習",3200元,年滿15歲以上,"1. 咖啡吧檯員 2. 咖啡廳人員 3.複合式餐廳吧檯人員",無
服務業群組,一般課程,烘焙伴手禮,趙利華老師,28人,114.06.17 10:00,114.07.07 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",72小時,"週二至週四 08:30~17:05",114.08.12,114.08.28,, "1. 烘焙材料 2. 台式拌手禮 3. 日式拌手禮 4. 檢定拌手禮品項 5. 烘焙材料計算",2700元,年滿15歲以上,可從事烘焙技術相關人員,無
服務業群組,一般課程,家傳滋味-台菜小吃料理,陳莉蓁老師,25人,114.06.17 10:00,114.07.07 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",72小時,"週二至週四 08:30~17:05",114.08.12,114.08.28,, "1. 台式餐點概論 2. 台式家常菜小吃製作 3. 台式清粥小菜系列 4. 台式點心製作品鑑",4100元,年滿15歲以上,可從事中式餐飲技術相關人員,無
服務業群組,一般課程,AI智慧與旅遊APP整合應用,陳素真老師,25人,114.06.17 10:00,114.07.07 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",64小時,"週三、週五 08:30~17:05",114.08.15,114.09.10,, "1. AI 在旅遊中的基本應用 2. 常見的旅遊APP介紹(食宿遊購行APP 運用) 3. AI技術優化旅行計劃 4. 旅遊 APP與AI的整合應用 5. 使用AI工具進行實際行程規劃演練",1400元,"年滿15歲以上 自備手機及網路","可從事旅遊顧問、旅遊規劃師、數位行銷專員、自由行規劃師",無
服務業群組,進階課程,照顧服務員線上課程完訓實習專班,曾奕嘉老師,30人,114.07.08 10:00,114.07.21 17:00,"114.07.25(五) 09:00 本學院多功能大樓視聽教室",64小時,"週一至週五 08:30~17:05",114.08.20,114.08.29,, "1. 核心術科課程(基本生命徵象、清潔與舒適協助技巧等) 2. 臨床實習",1500元,"114年02月17日起於衛生福利部長期照顧專業人員數位學習平台取得照顧服務員訓練數位化課程學習證明者","醫院或安養護中心之照顧服務員、社區照顧服務員、病患照顧服務人、長期照顧服務員、陪病員、居家服務人員等","勞動部勞動力發展署技能檢定中心編號 17800「照顧服務員」單一級學科測試參考資料"
服務業群組,一般課程,中小企業大補帖-氣候變遷的風險與機會,黃鈺婷老師,25人,114.07.01 10:00,114.07.21 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",24小時,"週四、週五 09:00~16:20",114.08.28,114.09.05,, "1. 永續發展:國際與產業趨勢 2. 氣候風險管理:如何避免實體風險與韌性調適 3. 永續治理:ESG永續治理的成本與效益",1000元,年滿15歲以上,"1. 中小企業主 2. 永續管理人員 3. 人力資源人員",無
服務業群組,一般課程,照顧服務員術科輔導,曾奕嘉老師,25人,114.08.19 10:00,114.09.08 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",40小時,"週二至週四 08:30~17:05",114.10.07,114.10.15,, "照顧服務員技能檢定術科七大項:生命徵象測量/成人異物哽塞急救法/成人心肺甦醒術/備餐、餵食及協助用藥/洗頭、衣物更換/會陰沖洗及尿管清潔/協助下床及坐輪椅",1000元,"1.年滿16歲以上 2.符合照顧服務員單一級技術士技能檢定報檢資格者 3.中高齡優先(年滿45歲以上)","醫院或安養護中心之照顧服務員、社區照顧服務員、病患照顧服務人員、長期照顧服務員、陪病員、居家服務人員等",無
服務業群組,一般課程,新勢力行銷:社群+影像設計強化,葉慶貞老師,25人,114.08.19 10:00,114.09.08 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",128小時,"週二、週四 08:30~17:05",114.10.14,114.12.04,, "1. AI 與社群行銷 2. Photoshop/Illustrator 圖文編排 3. 生成式 AI工具(文案應用與圖片素材協作) 4. Premiere 影音媒體剪輯 5. 社群平台素材設計製作",3500元,年滿15歲以上有電腦操作基礎者,"1. 社群企劃行銷人員 2. 行銷設計人員 3. 電商美術設計",無
服務業群組,一般課程,輕鬆學會PhotoShop,王敏為老師,25人,114.09.02 10:00,114.09.22 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",48小時,"週一、週三 08:30~17:05",114.10.20,114.11.05,, "1. PhotoShop入門 2. 影像編修 3. 去背與合成 4. 人像修片",1500元,年滿15歲以上有電腦操作基礎者,"1. 個人工作室 2. 自行接案 3.後製人員",無
服務業群組,一般課程,中小企業大補帖-碳盤查必修課,黃鈺婷老師,25人,114.09.02 10:00,114.09.22 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",48小時,"週五、週六 9:00~16:20",114.10.24,114.11.15,, "1. 溫室氣體環境與法規趨勢:熟悉氣候變遷衝擊下,環境與法規的現況與趨勢 2. 組織型碳盤查框架與規範:碳盤查作業實作 3. 新世代Excel 輕量資料庫:程式化函數、碳盤查數據資源系統原型、盤查清冊原型 4. 產品型碳盤查:產品碳足跡 5. 利害關係人議合:運用AA1000與利害關係人有效互動",1100元,年滿15歲以上,"1. 中小企業主 2. 永續管理人員 3. 人力資源人員",無
服務業群組,一般課程,創意生活木作,王敏為老師,25人,114.09.09 10:00,114.09.30 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",120小時,"週二、週四 08:30~17:05",114.11.04,114.12.23,, "1. 木工基本技巧 2. 材料認識 3. 創意木作小物",4400元,年滿15歲以上,"1. 個人工作室 2. 自行接案 3. 市集擺攤",無
服務業群組,一般課程,坐月子服務人員,翁慧婷老師,24人,114.09.09 10:00,114.09.30 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",96小時,"週二、週四 08:30~15:10",114.11.04,114.12.25,, "1. 工作倫理守則 2. 產婦及新生兒照護 3. 月子餐及副食品備製 4. 嬰幼兒按摩 5. 衣物洗滌 6. 居家清潔收納",3600元,年滿18歲以上,"產後護理之家保育人員、居家式及到宅托育保母等",無
服務業群組,一般課程,男士服裝製作,陳官薇老師,25人,114.09.09 10:00,114.09.30 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",160小時,"週一至週三 08:30~17:05",114.11.10,114.12.23,, "1. 男士牛仔西裝外套基礎概念(材料、基本操作、量身) 2. 男士西裝外套打版技術 3. 男士西裝外套縫製 4. 男士西裝外套體型補正",5100元,"年滿15歲以上 同時需要會使用平車機具、拷克具備服裝車縫基礎能力。","1. 服裝打版助理。 2. 服裝製作助理。 3. 服裝樣品製作人員。 4. 縫合、製作人員。 5.店面、專櫃;銷售服務人員 6.服裝修改人員",無
服務業群組,一般課程,品味生活-美味蔬食料理,陳莉蓁老師,25人,114.10.14 10:00,114.11.03 17:00,"1. 無須甄試 2. 依台北市勞動大學官網報名順序且應於期限內完成繳費者始錄取",72小時,"週二至週四 08:30~17:05",114.12.09,114.12.25,, "1. 蔬食餐點概論 2. 烹調法製作 3. 蔬食餐點製作 4. 綜合實習",3200元,年滿15歲以上,可從事中式餐飲技術相關人員,無
